                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.368,                 4.0903,                 4.2739,                0.00047,                0.00739,                0.00024,                  7e-05,                 5.3474,                 3.8574,                 4.1604,                  6e-05,                  6e-05,                  6e-05
                      2,                 5.0971,                 3.9738,                 4.2656,                0.00047,                0.00739,                0.00024,                  8e-05,                 5.3474,                 3.8544,                 4.1609,             0.00013827,             0.00013827,             0.00013827
                      3,                 4.8769,                 3.8563,                   4.23,                0.00047,                0.00739,                0.00024,                  8e-05,                 5.3471,                  3.854,                  4.161,             0.00021456,             0.00021456,             0.00021456
                      4,                 5.1087,                 3.7045,                  4.104,                0.00047,                0.00739,                0.00024,                  8e-05,                 5.3467,                 3.8585,                 4.1606,             0.00028886,             0.00028886,             0.00028886
                      5,                 4.7332,                 3.3648,                 4.0557,                0.00053,                0.00845,                0.00027,                  8e-05,                 5.3465,                 3.8601,                 4.1618,             0.00036119,             0.00036119,             0.00036119
                      6,                 4.4158,                 3.2107,                 3.9493,                0.00073,                0.01162,                0.00039,                0.00012,                 5.3494,                  3.869,                 4.1651,             0.00043154,             0.00043154,             0.00043154
                      7,                 4.2137,                 2.9628,                 3.8719,                 0.0008,                0.01267,                0.00042,                0.00013,                 5.3514,                 3.8866,                 4.1718,             0.00049991,             0.00049991,             0.00049991
                      8,                 4.0521,                 2.7776,                 3.7404,                 0.0008,                0.01267,                0.00042,                0.00013,                 5.3555,                 3.9151,                 4.1859,             0.00056629,             0.00056629,             0.00056629
                      9,                 4.0777,                 2.5967,                 3.5578,                 0.0008,                0.01267,                0.00042,                0.00013,                 5.3621,                 3.9519,                 4.2036,              0.0006307,              0.0006307,              0.0006307
                     10,                 3.5988,                 2.5258,                 3.5361,                 0.0008,                0.01267,                0.00042,                0.00012,                 5.3676,                 3.9846,                 4.2174,             0.00069313,             0.00069313,             0.00069313
                     11,                 3.7777,                 2.5721,                 3.3504,                0.00087,                0.01373,                0.00046,                0.00014,                 5.3735,                 3.9957,                 4.2373,             0.00075357,             0.00075357,             0.00075357
                     12,                 3.4102,                 2.4122,                   3.23,                 0.0008,                0.01267,                0.00042,                0.00013,                 5.3811,                 4.0306,                 4.2552,             0.00081204,             0.00081204,             0.00081204
                     13,                 3.3909,                 2.3186,                 2.9703,                0.00093,                0.01478,                0.00049,                0.00016,                 5.3914,                 4.0471,                 4.2842,             0.00086853,             0.00086853,             0.00086853
                     14,                 3.1999,                 2.4091,                 2.9093,                0.00093,                0.01478,                0.00049,                0.00016,                 5.3844,                 3.9787,                 4.2525,             0.00092304,             0.00092304,             0.00092304
                     15,                 3.0855,                 2.2875,                 2.8611,                0.00093,                0.01478,                0.00049,                0.00018,                 5.4136,                 4.2408,                 4.4331,             0.00097556,             0.00097556,             0.00097556
                     16,                 3.1198,                 2.1666,                 2.7398,                0.00087,                0.01373,                0.00046,                0.00016,                 5.4272,                 4.1878,                 4.5412,              0.0010261,              0.0010261,              0.0010261
